Date_YYYYMM,US_Consumer_Confidence
201001,74.4
201002,73.6
201003,73.6
201004,72.2
201005,73.6
201006,76.0
201007,67.8
201008,68.9
201009,68.2
201010,67.7
201011,71.6
201012,74.5
201101,74.2
201102,77.5
201103,67.5
201104,69.8
201105,74.3
201106,71.5
201107,63.7
201108,55.8
201109,59.5
201110,60.8
201111,63.7
201112,69.9
201201,75.0
201202,75.3
201203,76.2
201204,76.4
201205,79.3
201206,73.2
201207,72.3
201208,74.3
201209,78.3
201210,82.6
201211,82.7
201212,72.9
201301,73.8
201302,77.6
201303,78.6
201304,76.4
201305,84.5
201306,84.1
201307,85.1
201308,82.1
201309,77.5
201310,73.2
201311,75.1
201312,82.5
201401,81.2
201402,81.6
201403,80.0
201404,84.1
201405,81.9
201406,82.5
201407,81.8
201408,82.5
201409,84.6
201410,86.9
201411,88.8
201412,93.6
201501,98.1
201502,95.4
201503,93.0
201504,95.9
201505,90.7
201506,96.1
201507,93.1
201508,91.9
201509,87.2
201510,90.0
201511,91.3
201512,92.6
201601,92.0
201602,91.7
201603,91.0
201604,89.0
201605,94.7
201606,93.5
201607,90.0
201608,89.8
201609,91.2
201610,87.2
201611,93.8
201612,98.2
201701,98.5
201702,96.3
201703,96.9
201704,97.0
201705,97.1
201706,95.0
201707,93.4
201708,96.8
201709,95.1
201710,100.7
201711,98.5
201712,95.9
201801,95.7
201802,99.7
201803,101.4
201804,98.8
201805,98.0
201806,98.2
201807,97.9
201808,96.2
201809,100.1
201810,98.6
201811,97.5
201812,98.3
201901,91.2
201902,93.8
201903,98.4
201904,97.2
201905,100.0
201906,98.2
201907,98.4
201908,89.8
201909,93.2
201910,95.5
201911,96.8
201912,99.3
202001,99.8
202002,101.0
202003,89.1
202004,71.8
202005,72.3
202006,78.1
202007,72.5
202008,74.1
202009,80.4
202010,81.8
202011,76.9
202012,80.7
202101,79.0
202102,76.8
202103,84.9
202104,88.3
202105,82.9
202106,85.5
202107,81.2
202108,70.3
202109,72.8
202110,71.7
202111,67.4
202112,70.6
202201,67.2
202202,62.8
202203,59.4
202204,65.2
202205,58.4
202206,50.0
202207,51.5
202208,58.2
202209,58.6
202210,59.9
202211,56.7
202212,59.8
202301,64.9
202302,66.9
202303,62.0
202304,63.7
202305,59.0
202306,64.2
202307,71.5
202308,69.4
202309,67.8
202310,63.8
202311,61.3
202312,69.7
202401,79.0
202402,76.9
202403,79.4
202404,77.2
202405,69.1
202406,68.2
202407,66.4
202408,67.9
202409,70.1
202410,70.5
202411,71.8
202412,74.0
202501,71.7
202502,64.7
202503,57.0
202504,52.2
202505,52.2
202506,60.7
202507,61.7
202508,58.2
202509,55.1
202510,53.6
202511,51.0
202512,52.9
